age,country,streaming_platform,top_genre,minutes_streamed_per_day,number_of_songs_liked,most_played_artist,subscription_type,listening_time,discover_engagement,repeat_rate,age_group,region
23,australia,spotify,pop,311,419,taylor swift,free,night,19.66,20.12,18-25,oceania
46,south korea,spotify,hip-hop,11,102,billie eilish,free,night,43.81,55.65,36-50,asia
17,brazil,youtube,reggae,379,486,taylor swift,free,night,57.31,34.1,<18,south_america
56,france,apple music,metal,327,282,dua lipa,premium,night,12.89,65.06,50+,europe
36,australia,youtube,r&b,131,210,billie eilish,premium,night,65.95,63.34,36-50,oceania
59,usa,tidal,pop,476,198,ed sheeran,free,night,58.36,13.84,50+,north_america
20,india,deezer,rock,144,274,billie eilish,premium,morning,45.38,55.09,18-25,asia
24,brazil,deezer,edm,74,427,taylor swift,free,afternoon,10.42,16.4,18-25,south_america
42,uk,spotify,reggae,76,84,ed sheeran,free,night,30.14,11.02,36-50,europe
47,japan,spotify,classical,473,427,billie eilish,free,night,67.25,7.54,36-50,asia
31,japan,amazon music,pop,539,87,the weeknd,premium,night,46.95,27.36,26-35,asia
38,japan,apple music,pop,318,208,the weeknd,premium,afternoon,83.45,22.57,36-50,asia
55,india,deezer,classical,536,119,the weeknd,premium,afternoon,11.2,55.69,50+,asia
49,canada,tidal,pop,199,118,dua lipa,premium,night,36.99,51.49,36-50,north_america
42,australia,deezer,reggae,531,112,taylor swift,premium,afternoon,63.28,33.23,36-50,oceania
22,australia,deezer,hip-hop,234,88,bts,premium,afternoon,63.51,35.52,18-25,oceania
33,japan,deezer,pop,386,378,the weeknd,free,night,86.83,68.75,26-35,asia
21,japan,amazon music,rock,419,484,the weeknd,premium,morning,69.39,21.67,18-25,asia
41,france,youtube,pop,70,411,ed sheeran,premium,morning,78.6,58.73,36-50,europe
53,india,apple music,rock,547,419,adele,premium,night,36.41,57.24,50+,asia
39,india,apple music,classical,274,113,drake,premium,afternoon,38.7,47.85,36-50,asia
53,france,youtube,hip-hop,404,205,dua lipa,premium,afternoon,56.27,68.99,50+,europe
45,uk,youtube,r&b,491,411,the weeknd,premium,afternoon,34.74,56.12,36-50,europe
37,canada,amazon music,pop,345,129,post malone,free,morning,80.52,76.54,36-50,north_america
50,india,deezer,country,208,122,dua lipa,free,morning,71.99,22.97,36-50,asia
56,uk,spotify,country,105,454,drake,free,night,27.21,45.77,50+,europe
13,usa,apple music,classical,44,193,billie eilish,free,morning,43.17,79.98,<18,north_america
14,france,spotify,reggae,44,318,bts,premium,night,80.92,18.57,<18,europe
22,canada,amazon music,hip-hop,146,345,taylor swift,free,night,28.4,25.12,18-25,north_america
48,uk,spotify,metal,250,291,the weeknd,premium,night,27.97,60.48,36-50,europe
35,brazil,spotify,jazz,152,282,the weeknd,free,night,30.63,51.29,26-35,south_america
53,brazil,amazon music,metal,350,133,drake,free,night,74.78,19.01,50+,south_america
29,canada,deezer,jazz,558,97,adele,premium,morning,87.7,12.85,26-35,north_america
14,canada,youtube,country,57,415,taylor swift,premium,night,19.91,37.44,<18,north_america
26,usa,apple music,rock,264,226,adele,free,morning,57.57,53.83,26-35,north_america
26,canada,deezer,reggae,489,166,the weeknd,premium,night,87.39,45.01,26-35,north_america
40,uk,amazon music,metal,415,183,billie eilish,premium,morning,80.78,63.13,36-50,europe
53,australia,deezer,jazz,176,344,post malone,free,afternoon,49.03,74.59,50+,oceania
26,south korea,youtube,edm,336,247,the weeknd,premium,afternoon,11.7,39.32,26-35,asia
59,canada,youtube,hip-hop,345,465,ed sheeran,premium,morning,23.31,37.29,50+,north_america
27,uk,amazon music,pop,372,85,billie eilish,free,morning,25.58,34.7,26-35,europe
27,france,deezer,jazz,567,287,dua lipa,premium,afternoon,80.37,74.47,26-35,europe
30,japan,tidal,reggae,149,489,the weeknd,free,morning,13.45,12.53,26-35,asia
19,usa,tidal,reggae,146,130,ed sheeran,premium,afternoon,44.31,19.83,18-25,north_america
39,canada,deezer,reggae,50,25,taylor swift,premium,afternoon,37.17,74.53,36-50,north_america
34,canada,spotify,rock,58,321,the weeknd,free,afternoon,51.8,11.6,26-35,north_america
54,germany,deezer,hip-hop,121,118,bad bunny,premium,morning,22.6,53.96,50+,europe
26,india,deezer,classical,429,3,drake,free,morning,57.3,64.51,26-35,asia
17,brazil,youtube,jazz,535,368,post malone,premium,morning,74.98,8.53,<18,south_america
18,south korea,amazon music,rock,415,17,post malone,free,afternoon,84.06,16.55,<18,asia
23,canada,spotify,reggae,454,347,adele,free,morning,66.14,9.35,18-25,north_america
28,india,amazon music,r&b,23,491,drake,free,night,12.85,44.53,26-35,asia
46,france,youtube,r&b,379,182,bts,premium,morning,65.65,24.84,36-50,europe
48,south korea,apple music,reggae,513,485,ed sheeran,free,afternoon,61.93,49.88,36-50,asia
46,usa,apple music,jazz,135,445,bts,free,afternoon,45.81,60.65,36-50,north_america
50,japan,tidal,r&b,189,114,billie eilish,premium,night,88.33,18.74,36-50,asia
56,australia,tidal,pop,284,97,bts,premium,afternoon,19.05,27.92,50+,oceania
46,japan,deezer,r&b,240,73,bad bunny,free,afternoon,81.16,50.25,36-50,asia
48,usa,apple music,edm,296,264,bad bunny,free,night,53.12,34.71,36-50,north_america
49,france,youtube,country,478,421,bts,premium,morning,76.9,21.62,36-50,europe
57,uk,amazon music,pop,221,207,drake,free,afternoon,12.45,30.4,50+,europe
57,canada,youtube,rock,546,275,taylor swift,free,afternoon,79.18,10.88,50+,north_america
46,usa,apple music,edm,366,120,bts,premium,night,46.75,16.76,36-50,north_america
52,south korea,tidal,jazz,490,276,taylor swift,premium,afternoon,85.78,32.87,50+,asia
57,uk,amazon music,hip-hop,54,425,post malone,free,morning,62.08,53.78,50+,europe
32,japan,tidal,r&b,169,243,billie eilish,premium,afternoon,35.17,42.46,26-35,asia
40,canada,tidal,rock,220,274,the weeknd,free,morning,59.41,79.7,36-50,north_america
30,india,amazon music,classical,595,435,taylor swift,free,night,49.22,12.25,26-35,asia
59,australia,apple music,r&b,592,29,adele,free,afternoon,59.08,63.86,50+,oceania
33,canada,apple music,country,491,394,bad bunny,premium,night,53.65,37.48,26-35,north_america
21,japan,apple music,pop,345,37,taylor swift,free,night,80.94,7.91,18-25,asia
60,australia,spotify,country,37,226,bts,free,afternoon,76.78,14.4,50+,oceania
47,brazil,deezer,edm,521,138,adele,premium,afternoon,12.66,60.2,36-50,south_america
16,uk,amazon music,hip-hop,419,226,drake,free,morning,52.13,28.05,<18,europe
36,canada,youtube,r&b,547,486,taylor swift,free,night,43.7,56.16,36-50,north_america
50,india,youtube,country,524,91,billie eilish,premium,afternoon,70.83,26.29,36-50,asia
23,brazil,deezer,pop,548,168,the weeknd,premium,afternoon,51.18,40.7,18-25,south_america
48,canada,spotify,pop,438,371,bad bunny,free,afternoon,36.77,26.79,36-50,north_america
33,india,deezer,reggae,518,9,bts,premium,afternoon,30.64,20.99,26-35,asia
31,japan,spotify,country,160,463,adele,premium,morning,72.16,9.46,26-35,asia
53,india,deezer,r&b,560,349,billie eilish,free,afternoon,63.16,20.97,50+,asia
38,usa,youtube,r&b,390,27,ed sheeran,free,morning,84.24,70.64,36-50,north_america
33,france,youtube,country,418,256,ed sheeran,free,afternoon,28.06,29.54,26-35,europe
38,south korea,apple music,edm,463,140,the weeknd,free,night,19.91,7.45,36-50,asia
30,brazil,apple music,edm,471,389,bad bunny,free,afternoon,48.96,73.08,26-35,south_america
16,south korea,amazon music,jazz,425,392,drake,premium,morning,80.3,72.85,<18,asia
33,germany,tidal,hip-hop,590,496,adele,free,night,63.39,41.82,26-35,europe
17,india,deezer,hip-hop,449,162,adele,premium,night,22.56,19.7,<18,asia
49,brazil,deezer,country,125,160,dua lipa,premium,afternoon,29.85,33.78,36-50,south_america
33,germany,deezer,r&b,407,200,drake,premium,night,57.69,54.55,26-35,europe
44,uk,deezer,edm,520,93,billie eilish,premium,morning,83.8,31.94,36-50,europe
38,australia,amazon music,rock,151,212,taylor swift,premium,night,49.49,32.51,36-50,oceania
32,brazil,deezer,classical,200,33,dua lipa,free,afternoon,34.72,70.23,26-35,south_america
53,france,youtube,metal,267,417,bad bunny,premium,night,36.69,13.0,50+,europe
40,canada,spotify,rock,350,385,bad bunny,free,night,46.96,25.57,36-50,north_america
58,australia,youtube,classical,317,354,the weeknd,premium,afternoon,50.17,79.82,50+,oceania
39,usa,apple music,hip-hop,549,460,the weeknd,free,afternoon,51.19,43.57,36-50,north_america
49,usa,amazon music,country,352,443,ed sheeran,free,afternoon,73.11,36.69,36-50,north_america
27,canada,apple music,reggae,126,353,taylor swift,premium,morning,36.75,11.59,26-35,north_america
32,india,spotify,reggae,119,31,ed sheeran,premium,afternoon,85.39,55.56,26-35,asia
22,germany,spotify,edm,62,1,dua lipa,premium,afternoon,80.08,68.51,18-25,europe
19,germany,youtube,hip-hop,463,379,adele,free,morning,77.31,60.39,18-25,europe
35,japan,spotify,jazz,100,181,billie eilish,premium,afternoon,40.26,8.26,26-35,asia
13,brazil,spotify,country,585,462,billie eilish,premium,afternoon,53.26,72.35,<18,south_america
28,australia,amazon music,pop,10,30,post malone,premium,night,47.26,40.1,26-35,oceania
38,uk,tidal,r&b,134,434,billie eilish,premium,morning,46.38,54.51,36-50,europe
21,australia,amazon music,country,551,421,ed sheeran,free,night,49.2,42.1,18-25,oceania
25,uk,tidal,reggae,369,477,drake,premium,morning,13.66,10.18,18-25,europe
42,australia,deezer,pop,372,267,drake,free,night,31.06,59.18,36-50,oceania
57,brazil,apple music,r&b,376,334,dua lipa,premium,night,84.49,76.49,50+,south_america
40,india,tidal,r&b,450,309,bts,free,night,73.78,32.67,36-50,asia
51,france,apple music,metal,116,150,the weeknd,premium,night,10.86,38.18,50+,europe
22,south korea,amazon music,hip-hop,372,168,billie eilish,free,afternoon,24.79,63.7,18-25,asia
58,usa,amazon music,edm,180,258,adele,premium,night,27.13,45.45,50+,north_america
45,france,apple music,reggae,580,127,adele,premium,morning,55.04,43.66,36-50,europe
43,canada,tidal,hip-hop,435,314,drake,free,night,22.61,32.05,36-50,north_america
17,south korea,tidal,jazz,250,111,billie eilish,premium,night,80.95,8.15,<18,asia
36,canada,tidal,metal,226,347,bad bunny,free,morning,17.22,34.96,36-50,north_america
14,uk,amazon music,country,51,424,bad bunny,free,morning,59.28,66.16,<18,europe
53,japan,spotify,r&b,406,169,taylor swift,free,afternoon,13.49,33.18,50+,asia
21,canada,tidal,metal,317,268,the weeknd,premium,afternoon,66.49,11.87,18-25,north_america
33,south korea,tidal,edm,459,262,taylor swift,premium,morning,17.41,55.83,26-35,asia
54,australia,deezer,country,440,448,ed sheeran,premium,afternoon,55.32,9.42,50+,oceania
18,uk,deezer,hip-hop,570,246,taylor swift,premium,afternoon,69.77,54.47,<18,europe
36,germany,tidal,rock,373,246,ed sheeran,free,night,52.67,53.76,36-50,europe
25,canada,spotify,edm,183,179,billie eilish,premium,night,28.62,35.2,18-25,north_america
15,usa,youtube,hip-hop,139,239,dua lipa,premium,afternoon,62.11,77.73,<18,north_america
21,germany,deezer,r&b,530,270,billie eilish,free,afternoon,32.4,79.59,18-25,europe
39,south korea,amazon music,edm,272,277,the weeknd,premium,morning,39.7,48.24,36-50,asia
18,south korea,amazon music,metal,345,479,drake,premium,afternoon,21.71,45.96,<18,asia
36,japan,spotify,country,440,271,bts,free,afternoon,30.55,67.5,36-50,asia
24,germany,tidal,reggae,440,294,bad bunny,premium,night,20.92,32.38,18-25,europe
51,japan,youtube,reggae,385,414,taylor swift,free,morning,13.41,55.93,50+,asia
26,france,apple music,classical,396,217,dua lipa,premium,morning,39.81,15.41,26-35,europe
13,france,tidal,jazz,224,381,taylor swift,free,afternoon,60.46,63.68,<18,europe
41,germany,youtube,jazz,223,15,drake,premium,night,58.68,13.88,36-50,europe
21,japan,spotify,pop,46,165,adele,premium,afternoon,58.75,66.98,18-25,asia
59,canada,tidal,reggae,39,337,taylor swift,free,afternoon,79.14,40.26,50+,north_america
55,australia,deezer,edm,296,272,post malone,premium,afternoon,32.11,9.22,50+,oceania
52,india,spotify,classical,139,228,bts,free,night,11.98,65.55,50+,asia
48,usa,spotify,reggae,163,378,post malone,premium,morning,88.9,73.29,36-50,north_america
31,france,spotify,jazz,590,195,post malone,free,night,61.78,20.37,26-35,europe
49,germany,amazon music,metal,526,71,the weeknd,premium,afternoon,40.53,78.09,36-50,europe
41,brazil,amazon music,pop,99,92,adele,premium,morning,74.0,17.92,36-50,south_america
38,uk,spotify,hip-hop,279,454,post malone,premium,afternoon,10.35,36.1,36-50,europe
42,germany,youtube,country,335,29,bad bunny,free,night,63.28,62.01,36-50,europe
40,australia,spotify,r&b,118,212,the weeknd,premium,morning,53.78,76.46,36-50,oceania
29,brazil,youtube,metal,519,396,drake,free,night,43.41,16.76,26-35,south_america
42,brazil,youtube,rock,555,251,the weeknd,premium,afternoon,38.83,14.55,36-50,south_america
18,usa,youtube,reggae,361,45,adele,free,morning,52.26,25.91,<18,north_america
34,uk,spotify,jazz,194,339,bts,free,night,89.01,23.28,26-35,europe
37,usa,deezer,metal,143,379,drake,free,morning,55.02,59.23,36-50,north_america
16,south korea,apple music,country,229,380,post malone,free,night,68.64,72.16,<18,asia
42,brazil,youtube,pop,35,115,dua lipa,premium,night,21.84,70.43,36-50,south_america
21,india,youtube,pop,557,232,adele,free,night,79.16,41.87,18-25,asia
42,canada,spotify,reggae,465,154,drake,premium,morning,11.36,63.59,36-50,north_america
16,south korea,deezer,edm,233,295,bad bunny,free,morning,89.97,40.9,<18,asia
42,germany,deezer,reggae,563,59,bts,premium,morning,61.57,9.87,36-50,europe
40,south korea,tidal,edm,224,101,post malone,free,morning,60.44,43.18,36-50,asia
24,usa,spotify,edm,223,46,the weeknd,premium,morning,41.12,48.25,18-25,north_america
35,south korea,spotify,edm,36,125,post malone,free,morning,69.27,28.79,26-35,asia
18,usa,amazon music,reggae,493,417,bad bunny,premium,afternoon,72.34,6.65,<18,north_america
28,germany,amazon music,r&b,588,162,ed sheeran,free,morning,32.53,63.37,26-35,europe
41,australia,deezer,edm,406,469,taylor swift,free,morning,67.94,41.21,36-50,oceania
44,south korea,tidal,pop,597,5,adele,free,afternoon,76.3,5.1,36-50,asia
21,india,spotify,metal,54,268,billie eilish,free,night,51.99,65.41,18-25,asia
22,germany,youtube,edm,574,112,the weeknd,free,afternoon,36.43,43.05,18-25,europe
43,france,apple music,edm,236,263,dua lipa,premium,morning,81.29,67.13,36-50,europe
36,uk,apple music,rock,279,99,adele,premium,night,83.51,6.4,36-50,europe
40,australia,apple music,rock,481,320,the weeknd,premium,afternoon,69.67,71.07,36-50,oceania
25,usa,apple music,jazz,219,203,ed sheeran,premium,morning,86.17,69.53,18-25,north_america
59,brazil,apple music,pop,600,179,post malone,premium,morning,20.79,50.24,50+,south_america
48,australia,apple music,edm,77,123,post malone,free,afternoon,78.6,53.02,36-50,oceania
24,usa,amazon music,jazz,255,188,bad bunny,free,afternoon,30.7,58.33,18-25,north_america
52,france,youtube,edm,490,234,the weeknd,free,night,27.24,11.78,50+,europe
49,brazil,deezer,pop,548,48,post malone,free,morning,87.59,44.4,36-50,south_america
49,japan,amazon music,country,233,481,taylor swift,free,afternoon,83.99,57.83,36-50,asia
37,uk,deezer,classical,299,112,adele,premium,night,86.55,13.13,36-50,europe
33,canada,tidal,r&b,224,259,billie eilish,premium,night,61.34,11.73,26-35,north_america
53,usa,tidal,reggae,514,377,taylor swift,free,afternoon,83.19,58.45,50+,north_america
22,canada,youtube,reggae,239,349,post malone,premium,night,35.3,17.04,18-25,north_america
60,south korea,apple music,edm,328,99,bts,free,night,29.73,67.42,50+,asia
35,canada,youtube,metal,202,435,bad bunny,free,night,60.49,11.22,26-35,north_america
41,australia,tidal,pop,284,148,the weeknd,free,night,58.35,76.67,36-50,oceania
56,india,deezer,hip-hop,580,228,drake,free,afternoon,83.14,6.03,50+,asia
55,usa,youtube,pop,32,155,the weeknd,premium,afternoon,42.79,36.96,50+,north_america
32,south korea,deezer,rock,409,333,bts,premium,afternoon,11.84,22.71,26-35,asia
39,usa,apple music,country,342,437,bts,premium,morning,70.05,64.62,36-50,north_america
50,germany,spotify,hip-hop,349,480,the weeknd,free,night,56.82,75.33,36-50,europe
59,south korea,amazon music,reggae,311,428,bts,premium,night,74.86,20.09,50+,asia
52,australia,tidal,rock,281,103,dua lipa,premium,morning,78.26,25.58,50+,oceania
32,usa,tidal,metal,320,107,ed sheeran,premium,morning,72.64,18.39,26-35,north_america
36,france,youtube,metal,21,108,adele,premium,afternoon,33.13,57.81,36-50,europe
37,brazil,spotify,r&b,407,267,dua lipa,premium,afternoon,78.19,62.43,36-50,south_america
13,south korea,deezer,classical,446,256,ed sheeran,free,morning,38.68,79.12,<18,asia
27,south korea,tidal,pop,369,348,bad bunny,free,morning,88.99,7.06,26-35,asia
58,france,tidal,reggae,591,102,billie eilish,premium,afternoon,24.13,15.49,50+,europe
21,france,tidal,hip-hop,389,479,bad bunny,free,night,52.21,52.88,18-25,europe
58,japan,tidal,edm,364,464,billie eilish,premium,morning,48.31,77.46,50+,asia
32,uk,deezer,edm,41,349,the weeknd,free,night,12.44,7.47,26-35,europe
21,germany,deezer,rock,301,8,billie eilish,free,night,16.56,32.53,18-25,europe
40,canada,youtube,pop,252,310,the weeknd,premium,morning,38.34,13.11,36-50,north_america
49,brazil,tidal,country,168,364,bad bunny,premium,night,13.94,21.75,36-50,south_america
46,france,youtube,reggae,415,262,the weeknd,premium,night,10.15,7.29,36-50,europe
21,japan,deezer,classical,437,384,bad bunny,free,night,88.12,55.47,18-25,asia
51,germany,amazon music,reggae,27,375,drake,premium,morning,76.25,57.01,50+,europe
16,usa,amazon music,country,564,131,dua lipa,free,afternoon,65.54,64.52,<18,north_america
40,uk,amazon music,metal,149,50,taylor swift,premium,morning,45.79,51.6,36-50,europe
14,japan,youtube,r&b,117,433,bad bunny,free,afternoon,75.27,30.97,<18,asia
26,south korea,apple music,classical,10,143,ed sheeran,free,afternoon,17.81,37.73,26-35,asia
52,usa,deezer,hip-hop,200,44,billie eilish,premium,night,14.84,52.91,50+,north_america
48,usa,spotify,rock,542,274,bad bunny,premium,night,10.55,32.93,36-50,north_america
58,india,youtube,jazz,164,354,drake,premium,afternoon,46.51,6.84,50+,asia
46,france,tidal,classical,422,129,post malone,free,night,24.78,43.35,36-50,europe
31,australia,tidal,pop,328,237,ed sheeran,premium,morning,67.08,5.51,26-35,oceania
23,india,spotify,reggae,289,491,bad bunny,premium,night,89.0,10.41,18-25,asia
39,india,tidal,r&b,332,166,post malone,premium,afternoon,39.34,33.19,36-50,asia
13,france,deezer,rock,281,333,drake,free,morning,44.52,14.54,<18,europe
25,australia,apple music,classical,312,170,bts,free,afternoon,84.38,11.5,18-25,oceania
44,australia,tidal,pop,559,280,post malone,free,afternoon,24.14,56.76,36-50,oceania
56,brazil,spotify,classical,475,201,bad bunny,free,afternoon,45.48,19.47,50+,south_america
16,india,youtube,edm,397,417,billie eilish,free,night,25.13,22.45,<18,asia
14,uk,spotify,classical,268,312,drake,premium,night,32.64,78.32,<18,europe
48,australia,amazon music,metal,189,214,drake,free,morning,83.12,41.99,36-50,oceania
45,france,tidal,metal,438,35,post malone,premium,afternoon,41.89,32.34,36-50,europe
